section,category,subcategory,question_no,question,option_a,option_b,option_c,option_d,option_e,verified_answer,answer_text,source_key,status,basis
MPT Past Papers,Islamic General Knowledge,Quran,50,How many times is the name 'Muhammad (SAW)' narrated in the Holy Quran?,4,5,6,None of these,,A,4,A,VERIFIED — matches source,4 times
MPT Past Papers,Islamic General Knowledge,Quran,51,قرآن مجید کی پہلی سات نازل ہونے والی طویل سورتوں کو کیا کہتے ہیں؟,سبع مثانی,سبع طوال,سبع معلقہ,ان میں سے کوئی نہیں,,B,سبع طوال,B,VERIFIED — matches source,Sab`a Tiwal
MPT Past Papers,Islamic General Knowledge,Quran and Islamic history,52,"What does the word ""Quran"" mean?",To read,To recite,Both A and B,None of these,,C,Both A and B,,ANSWER SUPPLIED BY REVIEW,from qara`a - to read and to recite
MPT Past Papers,Islamic General Knowledge,Quran and Islamic history,53,Who performed the compilation of the Holy Quran after the demise of Prophet Muhammad (SAW)?,Hazrat Abu Bakar (RA),Hazrat Umar (RA),Hazrat Ali (RA),None of these,,A,Hazrat Abu Bakar (RA),,ANSWER SUPPLIED BY REVIEW,Hazrat Abu Bakr (RA)
MPT Past Papers,Islamic General Knowledge,Quran and Islamic history,54,"In which year of Prophethood did the first ""Bait-e-Uqba"" take place?",1st,2nd,10th,None of these,,D,None of these,,ANSWER SUPPLIED BY REVIEW,"the first Aqaba pledge was in the 11th-12th year of Prophethood, not listed"
MPT Past Papers,Islamic General Knowledge,Quran and Islamic history,55,In which year of Prophethood did Hazrat Hamza (RA) embrace Islam?,2nd Nabvi,5th Nabvi,8th Nabvi,None of these,,B,5th Nabvi,,ANSWER SUPPLIED BY REVIEW,5th year of Prophethood
MPT Past Papers,Islamic General Knowledge,Quran and Islamic history,56,Hazrat Usman (RA) did not take part in Ghazwa-e-Badr due to:,Illness of his wife,Old age,Being on a journey,None of these,,A,Illness of his wife,,ANSWER SUPPLIED BY REVIEW,he stayed to nurse his wife Ruqayyah (RA)
MPT Past Papers,Islamic General Knowledge,Quran and Islamic history,57,"What does ""Masnad"" mean?",Throne,Mosque,Market,None of these,,A,Throne,,ANSWER SUPPLIED BY REVIEW,Masnad = throne/seat
MPT Past Papers,Islamic General Knowledge,Quran and Islamic jurisprudence,58,Which of the following is the longest Surah of the Holy Qur'an?,Surah Yaseen,Surah Rehman,Surah Al-Baqara,None of these,,C,Surah Al-Baqara,,ANSWER SUPPLIED BY REVIEW,Surah Al-Baqara
MPT Past Papers,Islamic General Knowledge,Quran and Islamic jurisprudence,59,Which term is used for the longest Ayah (Verse) of the Holy Qur'an?,Ayat-e-Mubahla,Ayat-e-Madayana,Ayat-e-Madina,None of these,,B,Ayat-e-Madayana,,ANSWER SUPPLIED BY REVIEW,"Ayat-ud-Dayn, Al-Baqara 2:282"
MPT Past Papers,Islamic General Knowledge,Quran and Islamic jurisprudence,60,What is the title of Tafseer (Commentary) written by Mufti Muhammad Shafi?,Maarif-ul-Quran,Tafheem-ul-Quran,Fahm-ul-Quran,None of these,,A,Maarif-ul-Quran,,ANSWER SUPPLIED BY REVIEW,Maarif-ul-Quran
MPT Past Papers,Islamic General Knowledge,Quran and Islamic jurisprudence,61,"What are Hanafi, Maliki, Shafi'i and Hanbali?",Creed based doctrines,Fiqhi doctrines,Kalami doctrines,None of these,,B,Fiqhi doctrines,,ANSWER SUPPLIED BY REVIEW,the four Sunni schools of fiqh
MPT Past Papers,Islamic General Knowledge,"Quran, Hadith and early Islam",62,"Who compiled the first work of Hadith ""Sahifa-e-Sadiqa""?",Hazrat Abu Bakar (RA),Hazrat Abdullah bin Amr (RA),Hazrat Abu Hunain (RA),Imam Bukhari (RA),,B,Hazrat Abdullah bin Amr (RA),B,VERIFIED — matches source,Hazrat Abdullah bin Amr (RA)
MPT Past Papers,Islamic General Knowledge,"Quran, Hadith and early Islam",63,Who advised Hazrat Abu Bakar (RA) to compile the Holy Quran?,Hazrat Umar (RA),Hazrat Usman (RA),Hazrat Ali (RA),Hazrat Zaid bin Sabit (RA),,A,Hazrat Umar (RA),A,VERIFIED — matches source,Hazrat Umar (RA)
MPT Past Papers,Islamic General Knowledge,"Quran, Hadith and early Islam",64,"The phrase ""Muhammad is the Messenger of Allah"" is stated in which Surah of the Holy Quran?",Surah Yaseen,Surah Muhammad,Surah Rehman,Surah Fatiha,,B,Surah Muhammad,D,CORRECTED — source key was wrong,"CORRECTION: the phrase is in Surah Al-Fath 48:29, NOT Surah Fatiha. Of the options, Surah Muhammad is the only defensible one."
MPT Past Papers,Islamic General Knowledge,"Quran, Hadith and early Islam",65,"In what year did ""Bait-e-Rizwan"" take place?",5 AH,6 AH,7 AH,8 AH,,B,6 AH,B,VERIFIED — matches source,6 AH
MPT Past Papers,Islamic General Knowledge,"Quran, Hadith and early Islam",66,Which night has been regarded as better than one-thousand nights in the Holy Quran?,Night of Miraj,Night of Eid-ul-Fitar,Night of Qadar,Night of Barat,,C,Night of Qadar,C,VERIFIED — matches source,"Laylat-ul-Qadr, Surah Al-Qadr"
MPT Past Papers,Islamic General Knowledge,Seerah and Hadith,68,"For which Sura did Rasool Ullah (SAW) say that ""it made me older""?",Surah Hood,Sura Samood,Sura Aad,None of these,,A,Surah Hood,A,VERIFIED — matches source,Surah Hud
MPT Past Papers,Islamic General Knowledge,Seerah and Hadith,69,"Who is the author of the book ""Sunnat Khair Ul Anam""?",Qazi Salman Mansoorpuri,Peer Muhammad Karam Shah,Mufti Muhammad Shafi,None of these,,B,Peer Muhammad Karam Shah,B,VERIFIED — matches source,Peer Muhammad Karam Shah - low confidence
MPT Past Papers,Islamic General Knowledge,Seerah and Hadith,70,The Hadith which extended up to the Prophet (SAW) is called:,Maroof,Moqoof,Qudsi,None of these,,D,None of these,D,VERIFIED — matches source,"the term is Marfu, which is not correctly listed"
MPT Past Papers,Islamic General Knowledge,Seerah and Hadith,71,Who is called more honorable than the Kaabah by the Holy Prophet (SAW)?,Safa Marwa,Jable Noor,Momin,Shaheed,,C,Momin,C,VERIFIED — matches source,a Momin (believer)
MPT Past Papers,Pakistan Affairs,History and general knowledge,72,"Name the Pakistan's surface-to-surface ballistic missile, which is capable of delivering multiple warheads using Multiple Independent Re-entry Vehicle (MIRV) technology?",Shaheen-II,Ababeel,Nasr,None of these,,B,Ababeel,,ANSWER SUPPLIED BY REVIEW,Ababeel carries MIRV
MPT Past Papers,Pakistan Affairs,History and general knowledge,74,Durand line was demarcated in which year?,1891,1893,1895,None of these,,B,1893,,ANSWER SUPPLIED BY REVIEW,1893
MPT Past Papers,Pakistan Affairs,History and general knowledge,75,Pakistan's first coin was issued in:,1948,1949,1950,None of these,,A,1948,,ANSWER SUPPLIED BY REVIEW,1948
MPT Past Papers,Pakistan Affairs,History and general knowledge,76,"Which place is called the ""Jewel of Hindukush""?",Balakot,Hazara,Chitral,None of these,,C,Chitral,,ANSWER SUPPLIED BY REVIEW,Chitral
MPT Past Papers,Pakistan Affairs,History and general knowledge,77,Who was known as Baba e Sindh?,hyder bux jatoi,Bashir qureshi,Qazi Abdul jalil,None of these,,A,hyder bux jatoi,,ANSWER SUPPLIED BY REVIEW,Hyder Bux Jatoi
MPT Past Papers,Pakistan Affairs,History and general knowledge,78,Sialkot-Lahore Motorway is called:,(M11),(M5),(M3),None of these,,A,(M11),,ANSWER SUPPLIED BY REVIEW,M-11
MPT Past Papers,Pakistan Affairs,History and treaties,79,"The Pak-Afghan border agreement (""Durand Line"") was signed in:",1893,1894,1895,None of these,,A,1893,A,VERIFIED — matches source,1893
MPT Past Papers,Pakistan Affairs,History and treaties,80,The Indus Waters Treaty between Pakistan and India was mediated by the:,IMF,World Bank,United States,None of these,,B,World Bank,B,VERIFIED — matches source,World Bank
MPT Past Papers,Pakistan Affairs,"History, geography and government",81,Which Pakistani diplomat served as the President of the United Nations (UN) General Assembly?,Feroz Khan Noon,Zulfikar Ali Bhutto,Muhammad Zafrulla Khan,None of these,,C,Muhammad Zafrulla Khan,C,VERIFIED — matches source,"Sir Zafrulla Khan, 1962-63"
MPT Past Papers,Pakistan Affairs,"History, geography and government",82,"What is the length of the Batura Glacier, making it one of the largest and longest glaciers outside the polar regions?",57 kilometers,61 kilometers,64 kilometers,None of these,,A,57 kilometers,C,CORRECTED — source key was wrong,CONTESTED: Batura is most often given as 57 km; the source says 64 km
MPT Past Papers,Pakistan Affairs,"History, geography and government",83,"Which island is known as Pakistan's largest island and is sometimes referred to as ""Jazira Haft Talar,"" meaning the island of seven mountains?",Manora Island,Astola Island,Churna Island,None of these,,B,Astola Island,B,VERIFIED — matches source,Astola Island
MPT Past Papers,Pakistan Affairs,"History, geography and government",84,How many members of the National Assembly must sign the notice of no confidence for it to be valid?,At least five percent (5%),At least ten percent (10%),At least twenty percent (20%),None of these,,C,At least twenty percent (20%),C,VERIFIED — matches source,20% of NA members
MPT Past Papers,Pakistan Affairs,"History, geography and government",85,"As of 2023, Pakistan is included in the roster of FATF.",Black,Grey,White,None of these,,C,White,C,VERIFIED — matches source,removed from the grey list in Oct 2022
MPT Past Papers,Pakistan Affairs,"History, geography and government",86,"The Muslim League observed ""Direct Action Day"" on August 16, 1946, which led to communal violence in:",Delhi,Lahore,Kolkata,Mumbai,,C,Kolkata,C,VERIFIED — matches source,Calcutta/Kolkata
MPT Past Papers,Pakistan Affairs,"History, geography and government",87,"In the Bogra formula, the proposed lower house of parliament was named as:",The House of Commons,The House of People,National Assembly,None of these,,B,The House of People,A,CORRECTED — source key was wrong,Bogra formula named the lower house the House of People
MPT Past Papers,Pakistan Affairs,"History, geography and government",88,Mujeeb-ur-Rehman presented his six points in:,1966,1959,1968,None of these,,A,1966,A,VERIFIED — matches source,1966
MPT Past Papers,Pakistan Affairs,"History, geography and government",89,The Chief Justice of Supreme Court of Pakistan is appointed by the:,President,Prime Minister,Majority vote in the Parliament,None of these,,A,President,A,VERIFIED — matches source,the President
MPT Past Papers,Pakistan Affairs,"History, institutions and international relations",90,Pakistan became a permanent member of the Shanghai Cooperation Organization in:,2016,2017,2018,None of these,,B,2017,B,VERIFIED — matches source,2017
MPT Past Papers,Pakistan Affairs,"History, institutions and international relations",91,The State of Swat was integrated into Pakistan in:,1968,1969,1970,None of these,,B,1969,B,VERIFIED — matches source,1969
MPT Past Papers,Pakistan Affairs,"History, institutions and international relations",92,Pakistan has been a member of the World Trade Organization since:,1995,1996,1997,None of these,,A,1995,A,VERIFIED — matches source,1995
MPT Past Papers,Pakistan Affairs,"History, institutions and international relations",93,Pakistan released Afghan Taliban leader _____ in 2018.,Mullah Haibatullah,Mullah Baradar,Mullah Mansoor,None of these,,B,Mullah Baradar,B,VERIFIED — matches source,Mullah Baradar
MPT Past Papers,Pakistan Affairs,"History, institutions and international relations",94,Pervez Musharraf gave a _____-point formula for the solution of Kashmir.,Three,Four,Five,None of these,,B,Four,B,VERIFIED — matches source,four-point formula
MPT Past Papers,Pakistan Affairs,"History, institutions and international relations",95,"Constitutionally, Gilgit-Baltistan has a _____ status.",Provincial,Semi-provincial,State,None of these,,B,Semi-provincial,D,CORRECTED — source key was wrong,commonly taught as semi-provincial; its constitutional status is still undefined
MPT Past Papers,Pakistan Affairs,"History, institutions and international relations",96,NESCOM of Pakistan stands for:,National Engineering and Scientific Commission,National Engineering and Statistical Commission,National Engineering and Space Commission,None of these,,A,National Engineering and Scientific Commission,A,VERIFIED — matches source,National Engineering and Scientific Commission
MPT Past Papers,Pakistan Affairs,"History, institutions and international relations",97,Pakistan has been a member of the ASEAN Regional Forum (ARF) since:,2002,2003,2004,None of these,,C,2004,C,VERIFIED — matches source,2004
MPT Past Papers,Pakistan Affairs,"History, institutions and international relations",98,Pakistan started Operation Radd-ul-Fasaad in _____ 2017.,February,March,April,None of these,,A,February,A,VERIFIED — matches source,February 2017
MPT Past Papers,Pakistan Affairs,"History, institutions and international relations",99,The _____ constitutional amendment created military courts in Pakistan.,21st,22nd,23rd,None of these,,A,21st,B,CORRECTED — source key was wrong,"the 21st Amendment created military courts, not the 22nd"
MPT Past Papers,Pakistan Affairs,"History, institutions and international relations",100,The Afghanistan-Pakistan Transit Trade Agreement (APTTA) was signed in:,2008,2009,2010,None of these,,C,2010,C,VERIFIED — matches source,2010
MPT Past Papers,Pakistan Affairs,"History, institutions and international relations",101,"The founding editor of the ""Zamindar"" newspaper was:",Maulana Muhammad Ali Johar,Maulana Sikandar Ali,Maulana Zafar Ali Khan,None of these,,C,Maulana Zafar Ali Khan,C,VERIFIED — matches source,Maulana Zafar Ali Khan
MPT Past Papers,Pakistan Affairs,"History, institutions and international relations",102,Pakistan has been a signatory of the Nuclear Non-Proliferation Treaty (NPT) since:,1977,1978,1979,None of these,,D,None of these,D,VERIFIED — matches source,Pakistan has never signed the NPT
MPT Past Papers,Pakistan Affairs,"History, institutions and international relations",103,The West Pakistan Land Reforms Regulation was passed in:,1959,1960,1961,None of these,,A,1959,A,VERIFIED — matches source,1959
MPT Past Papers,Pakistan Affairs,Infrastructure,104,The Iran-Pakistan gas pipeline is called the:,Peace Pipeline,Friendship Pipeline,Great Pipeline,None of these,,A,Peace Pipeline,A,VERIFIED — matches source,Peace Pipeline
MPT Past Papers,Pakistan Affairs,"Politics, history and institutions",106,FATA merged with KPK under the _____ amendment to the Constitution of Pakistan.,24th,25th,26th,None of these,,B,25th,,ANSWER SUPPLIED BY REVIEW,25th Amendment
MPT Past Papers,Pakistan Affairs,"Politics, history and institutions",107,_____ is the only female Governor appointed in Pakistan.,Begum Rana Liaqat Ali Khan,Mohtarma Fatima Jinnah,Begum Jahan Ara Shahnawaz,None of these,,A,Begum Rana Liaqat Ali Khan,,ANSWER SUPPLIED BY REVIEW,"Begum Rana Liaquat Ali Khan, Governor of Sindh"
MPT Past Papers,Pakistan Affairs,"Politics, history and institutions",108,The National Identity Card was introduced in Pakistan in:,1973,1974,1976,None of these,,A,1973,,ANSWER SUPPLIED BY REVIEW,1973
MPT Past Papers,Pakistan Affairs,"Politics, history and institutions",109,Which rivers were given to India under the Indus Waters Treaty in 1960?,"Jhelum, Sutlej, Ravi","Chenab, Beas, Ravi","Sutlej, Beas, Ravi",None of these,,C,"Sutlej, Beas, Ravi",,ANSWER SUPPLIED BY REVIEW,"Sutlej, Beas and Ravi went to India"
MPT Past Papers,Pakistan Affairs,"Politics, history and national facts",110,Mohtarma Benazir Bhutto became Prime Minister of Pakistan for the first time in:,October 1988,November 1988,December 1988,None of these,,C,December 1988,,ANSWER SUPPLIED BY REVIEW,2 December 1988
MPT Past Papers,Pakistan Affairs,"Politics, history and national facts",111,"During the Ayub era, presidential elections were held in:",1962,1965,1966,None of these,,B,1965,,ANSWER SUPPLIED BY REVIEW,1965
MPT Past Papers,Pakistan Affairs,"Politics, history and national facts",112,The head of the state in Pakistan is the:,Prime Minister,President,Speaker NA,None of these,,B,President,,ANSWER SUPPLIED BY REVIEW,the President
MPT Past Papers,Pakistan Affairs,"Politics, history and national facts",113,The Lahore Resolution was passed in:,1943,1946,1940,None of these,,C,1940,,ANSWER SUPPLIED BY REVIEW,1940
MPT Past Papers,Pakistan Affairs,"Politics, history and national facts",114,Who was the 2nd Prime Minister of Pakistan?,Ch. Muhammad Ali,Muhammad Ali Bogra,Khawaja Nazimuddin,None of these,,C,Khawaja Nazimuddin,,ANSWER SUPPLIED BY REVIEW,Khawaja Nazimuddin
MPT Past Papers,Pakistan Affairs,"Politics, history and national facts",115,Who became President after Ayub Khan resigned?,Zulfiqar Ali Bhutto,Noorul Ameen,Muhammad Khan Junejo,None of these,,D,None of these,,ANSWER SUPPLIED BY REVIEW,"Yahya Khan, who is not listed"
