section,category,subcategory,question_no,question,option_a,option_b,option_c,option_d,option_e,verified_answer,answer_text,source_key,status,basis
MPT Past Papers,Mathematics,Arithmetic and sequences,292,"How many combinations of two-digit numbers having 6 can be formed from the following numbers: 6, 7, 5, 1, 3, 8?",6,10,11,None of these,,,,A,UNRESOLVED — do not publish,"ambiguous: 10 without repetition, 11 with. Source says 6. Needs the paper."
MPT Past Papers,Reasoning,"Relationships, ordering and sequences",395,"A got more points than B but less than C. D got less points than C but more than A. If C gets less than D, then who gets the highest points?",D,E,C,None of these,,,,B,UNRESOLVED — do not publish,"DEFECTIVE: the premises say D<C and then C<D, a direct contradiction; option E is never defined"
MPT Past Papers,English,Grammar and usage,495,Which sentence uses the subjunctive mood correctly?,"If I was you, I would study more.","If I were you, I would study more.","If he was here, he would help us.","If he were here, he would help us.",,,,D,UNRESOLVED — do not publish,"DEFECTIVE: both B (""If I were you"") and D (""If he were here"") are correct subjunctives. Two right answers."
MPT Past Papers,English,Grammar and usage,496,Which sentence uses the correct tense?,I have been reading this book since two hours,I had read that book last week,I will have finished my homework by 7 pm,I was reading the book when the phone rang.,,,,D,UNRESOLVED — do not publish,DEFECTIVE: both C (future perfect) and D (past continuous) are correct. Two right answers.
MPT Past Papers,English,Reading comprehension,525,The word that would most accurately fit the blank at the end of the second paragraph is:,Shadow,Picture,Contradiction,Reversal,,,,A,UNRESOLVED — do not publish,passage not included in the document - cannot verify
MPT Past Papers,English,Reading comprehension,528,Which of the following would be the best title for this passage?,Life in a Cave,Making Shadow Puppets,Perception and Reality,Is There Life After Death,,,,C,UNRESOLVED — do not publish,passage not included - cannot verify
MPT Past Papers,English,Reading comprehension,531,The word that would most accurately fit the blank at the end of the passage is:,Peeling,Jarring,Intimate,Distant,,,,D,UNRESOLVED — do not publish,passage not included - cannot verify
MPT Past Papers,English,Reading comprehension,532,What is the dominant sensory experience in the passage?,Visual,Auditory,Olfactory,Tactile,,,,B,UNRESOLVED — do not publish,passage not included - cannot verify
MPT Past Papers,English,Reading comprehension,533,"What is the effect of the ""momentary Japanese effect"" created by the shadows of birds in flight?",It adds to the sense of stillness and calm,It creates a sense of movement and energy,It emphasizes the beauty of nature,It highlights the artificiality of the scene,,,,B,UNRESOLVED — do not publish,passage not included - cannot verify
MPT Past Papers,English,Reading comprehension,534,Which of the following would be the best title for this passage?,The city's beauty and music,The city's noise and chaos,A sense of distance and removal,The city's power and dominance,,,,C,UNRESOLVED — do not publish,passage not included - cannot verify
MPT Past Papers,English,Reading comprehension,536,"If you go to lunch at Dilly's Deli, you could expect to see:",Couples dining together,The fire marshal,A long line of customers,Homemade pie,,,,C,UNRESOLVED — do not publish,passage not included - cannot verify
MPT Past Papers,English,Verbal analogies,565,Select the pair that best expresses a relationship similar to CONVICTION : INCARCERATION.,Reduction : Diminution,Induction : Intimidation,Radicalization : Estimation,Marginalization : Intimidation,,,,,UNRESOLVED — do not publish,"DEFECTIVE: conviction leads to incarceration, but no option pair shows that cause-effect relation"
MPT Past Papers,Urdu,Grammar,582,درج ذیل الفاظ میں سے کون سا لفظ مذکر ہے؟,آب و ہوا,بندرگاہ,مٹھاس,اٹھان,,,,,UNRESOLVED — do not publish,all four listed words are normally feminine; cannot identify a masculine one
