id,word,pronunciation_arpabet,primary_part_of_speech,primary_definition,synonyms,examples,source_list_count,priority_tier,source,ranking_source_url,verified_on
"vocab-0014","emulate","EH1 M Y AH0 L EY2 T","verb","compete with successfully","[]","[""approach or reach equality with"",""This artist's drawings cannot emulate his water colors"",""He is emulating the skating skills of his older sister""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0015","enervate","","verb","weaken mentally or morally  ","[]","[]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0016","engender","EH0 N JH EH1 N D ER0","verb","call forth  ","[""breed"",""spawn""]","[]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0017","exacerbate","IH0 G Z AE1 S ER0 B EY2 T","verb","exasperate or irritate  ","[""exasperate"",""aggravate""]","[]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0018","facetious","F AH0 S IY1 SH AH0 S","adjective","cleverly amusing in tone","[""bantering"",""tongue-in-cheek""]","[""a bantering tone"",""facetious remarks"",""tongue-in-cheek advice""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0019","immutable","IH2 M Y UW1 T AH0 B AH0 L","adjective","constant and unchanging","[""changeless""]","[""the immutable laws of nature"",""the view of that time was that all species were immutable, created by God""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0020","implacable","IH2 M P L AE1 K AH0 B AH0 L","adjective","incapable of being placated","[]","[""an implacable enemy""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0021","innocuous","IH2 N AA1 K Y UW0 AH0 S","adjective","not causing disapproval","[""unobjectionable""]","[""it was an innocuous remark"",""confined himself to innocuous generalities"",""unobjectionable behavior""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0022","insipid","IH2 N S IH1 P AH0 D","adjective","lacking interest or significance or impact","[""jejune""]","[""an insipid personality"",""jejune novel""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0023","irascible","IH2 R AE1 S IH0 B AH0 L","adjective","characterized by anger","[""choleric"",""hotheaded"",""hot-tempered"",""quick-tempered"",""short-tempered""]","[""a choleric outburst"",""an irascible response"",""a hotheaded commander""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0024","lucid","L UW1 S AH0 D","adjective","having a clear mind","[]","[""a lucid moment in his madness""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0025","mitigate","M IH1 T AH0 G EY2 T","verb","make less severe or harsh","[]","[""mitigating circumstances""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0026","mundane","M AH0 N D EY1 N","adjective","belonging to this earth or world","[""terrene"",""terrestrial""]","[""not ideal or heavenly"",""not a fairy palace"",""yet a mundane wonder of unimagined kind"",""so terrene a being as himself""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0027","obdurate","AA1 B D ER0 AH0 T","adjective","showing unfeeling resistance to tender feelings","[""flinty"",""flint"",""granitic"",""stony"",""cussed"",""obstinate"",""unrepentant""]","[""his flinty gaze"",""the child's misery would move even the most obdurate heart""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0028","obsequious","AH0 B S IY1 K W IY0 AH0 S","adjective","attentive in an ingratiating or servile manner","[]","[""obsequious shop assistants""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0029","phlegmatic","F L EH0 G M AE1 T IH0 K","adjective","showing little emotion","[""phlegmatical""]","[""a phlegmatic...and certainly undemonstrative man""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0030","placate","P L EY1 K EY0 T","verb","cause to be more favorably inclined","[""pacify"",""lenify"",""conciliate"",""assuage"",""appease"",""mollify"",""gentle"",""gruntle""]","[""gain the good will of"",""She managed to mollify the angry customer""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0031","platitude","P L AE1 T IH0 T UW2 D","noun","a trite or obvious remark  ","[""cliche"",""banality"",""commonplace"",""bromide""]","[]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0032","pristine","P R IH1 S T IY0 N","adjective","immaculately clean and unused","[]","[""handed her his pristine white handkerchief"",""pristine mountain snow""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0033","prodigal","P R AA1 D IH0 G AH0 L","noun","a recklessly extravagant consumer  ","[""profligate"",""squanderer""]","[]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0034","repudiate","R IY0 P Y UW1 D IY0 EY2 T","verb","reject as untrue, unfounded, or unjust","[]","[""She repudiated the accusations"",""repudiate a debt"",""The woman repudiated the divorce settlement""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0035","sanction","S AE1 NG K SH AH0 N","verb","give religious sanction to, such as through on oath","[]","[""sanctify the marriage"",""it had the sanction of the church""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0036","specious","S P IY1 SH AH0 S","adjective","plausible but false","[""spurious""]","[""a specious claim"",""spurious inferences""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0037","whimsical","W IH1 M Z IH0 K AH0 L","adjective","determined by chance or impulse or whim rather than by necessity or reason","[""capricious"",""impulsive""]","[""a capricious refusal"",""authoritarian rulers are frequently capricious"",""the victim of whimsical persecutions""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0038","aberrant","AE0 B EH1 R AH0 N T","adjective","markedly different from an accepted norm","[""deviant"",""deviate""]","[""aberrant behavior"",""deviant ideas""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0039","abjure","","verb","formally reject or disavow a formerly held belief, usually under pressure","[""recant"",""forswear"",""retract"",""resile""]","[""He retracted his earlier statements about his religion"",""She abjured her beliefs""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0040","advocate","AE1 D V AH0 K AH0 T","noun","a lawyer who pleads cases in court  ","[""counsel"",""counselor"",""counsellor"",""counselor-at-law"",""pleader"",""advocator"",""proponent"",""exponent""]","[]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0041","aesthetic","EH0 S TH EH1 T IH0 K","adjective","aesthetically pleasing","[""esthetic"",""artistic"",""aesthetical"",""esthetical""]","[""an artistic flower arrangement"",""the aesthetic faculties"",""an aesthetic person"",""aesthetic feeling""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0042","ameliorate","AH0 M IY1 L Y ER0 EY2 T","verb","get better","[""better"",""improve"",""meliorate"",""amend""]","[""The weather improved toward evening"",""The editor improved the manuscript with his changes""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0043","apathy","AE1 P AH0 TH IY0","noun","the trait of lacking enthusiasm for or interest in things generally  ","[""indifference"",""numbness"",""spiritlessness""]","[]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0044","ascetic","AH0 S EH1 T IH0 K","adjective","practicing great self-denial","[""ascetical"",""austere"",""spartan""]","[""Be systematically ascetic...do...something for no other reason than that you would rather not do it- William James"",""a desert nomad's austere life"",""a spartan diet"",""a spartan existence""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0045","assuage","AH0 S W EY1 JH","verb","provide physical relief, as from pain","[""relieve"",""alleviate"",""palliate"",""quench"",""slake"",""allay"",""pacify"",""lenify"",""conciliate"",""appease""]","[""This pill will relieve your headaches"",""The cold water quenched his thirst"",""gain the good will of"",""She managed to mollify the angry customer""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0046","bolster","B OW1 L S T ER0","verb","prop up with a pillow or bolster  ","[""bolster up"",""long pillow""]","[""bolster morale""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0047","capricious","K AH0 P R IH1 SH AH0 S","adjective","determined by chance or impulse or whim rather than by necessity or reason","[""impulsive"",""whimsical"",""freakish""]","[""a capricious refusal"",""authoritarian rulers are frequently capricious"",""the victim of whimsical persecutions"",""a capricious summer breeze""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0048","craven","K R EY1 V AH0 N","adjective","lacking even the rudiments of courage","[""recreant""]","[""abjectly fearful"",""the craven fellow turned and ran"",""a craven proposal to raise the white flag"",""this recreant knight- Spenser""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0049","derivative","D ER0 IH1 V AH0 T IH0 V","adjective","resulting from or employing derivation","[]","[""a derivative process"",""a highly derivative prose style"",""`electricity' is a derivative of `electric'""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0050","diatribe","D AY1 AH0 T R AY2 B","noun","thunderous verbal attack  ","[""fulmination""]","[]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0051","didactic","D AY0 D AE1 K T IH0 K","adjective","instructive (especially excessively)  ","[""didactical""]","[]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0052","dilettante","","adjective","showing frivolous or superficial interest","[""dilettantish"",""dilettanteish"",""sciolistic""]","[""amateurish"",""his dilettantish efforts at painting""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0053","dissemble","D IH0 S EH1 M B AH0 L","verb","behave unnaturally or affectedly","[""pretend"",""act"",""cloak"",""mask""]","[""She's just acting"",""He masked his disappointment""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0054","disseminate","D IH0 S EH1 M AH0 N EY2 T","verb","cause to become widely known","[""circulate"",""circularize"",""circularise"",""distribute"",""propagate"",""broadcast"",""spread"",""diffuse"",""disperse"",""pass around""]","[""spread information"",""circulate a rumor"",""broadcast the news""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0055","ebullient","IH2 B AH1 L Y AH0 N T","adjective","joyously unrestrained  ","[""exuberant"",""high-spirited""]","[]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0056","elicit","IH0 L IH1 S IH0 T","verb","derive by reason","[]","[""elicit a solution""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0057","endemic","EH0 N D EH1 M IH0 K","adjective","native to or confined to a certain region","[""endemical""]","[""the islands have a number of interesting endemic species"",""diseases endemic to the tropics"",""endemic malaria"",""food shortages and starvation are endemic in certain parts of the world""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0058","ephemeral","IH0 F EH1 M ER0 AH0 L","adjective","lasting a very short time","[""passing"",""short-lived"",""transient"",""transitory"",""fugacious""]","[""the ephemeral joys of childhood"",""a passing fancy"",""youth's transient beauty"",""love is transitory but it is eternal""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0059","equivocate","IH0 K W IH1 V AH0 K EY2 T","verb","be deliberately ambiguous or unclear in order to mislead or withhold information  ","[""beat around the bush"",""tergiversate"",""prevaricate"",""palter""]","[]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0060","eschew","EH0 S CH UW1","verb","avoid and stay away from deliberately","[""shun""]","[""stay clear of""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0061","exonerate","IH0 G Z AA1 N ER0 EY2 T","verb","pronounce not guilty of criminal charges","[""acquit"",""assoil"",""clear"",""discharge"",""exculpate""]","[""The suspect was cleared of the murder charges""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0062","garrulous","G EH1 R AH0 L AH0 S","adjective","full of trivial conversation","[""chatty"",""gabby"",""loquacious"",""talkative"",""talky""]","[""kept from her housework by gabby neighbors""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0063","glib","G L IH1 B","adjective","artfully persuasive in speech","[""glib-tongued"",""smooth-tongued"",""pat"",""slick""]","[""a glib tongue"",""a smooth-tongued hypocrite"",""glib promises"",""a slick commercial""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0064","gregarious","G R AH0 G EH1 R IY0 AH0 S","adjective","(of plants) growing in groups that are close together  ","[]","[""he is a gregarious person who avoids solitude"",""gregarious bird species""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0065","harangue","HH ER0 AE1 NG","verb","deliver a harangue to","[""rant"",""ranting""]","[""address forcefully""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0066","imperturbable","","adjective","not easily perturbed or excited or upset","[""unflappable""]","[""marked by extreme calm and composure"",""hitherto imperturbable, he now showed signs of alarm"",""an imperturbable self-possession"",""unflappable in a crisis""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0067","inimical","IH2 N IH1 M IH0 K AH0 L","adjective","not friendly","[""unfriendly""]","[""an unfriendly act of aggression"",""an inimical critic""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0068","intrepid","IH0 N T R EH1 P AH0 D","adjective","invulnerable to fear or intimidation","[""audacious"",""brave"",""dauntless"",""fearless"",""hardy"",""unfearing""]","[""audacious explorers"",""fearless reporters and photographers"",""intrepid pioneers""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0069","inundate","IH1 N AH0 N D EY2 T","verb","fill or cover completely, usually with water  ","[""deluge"",""submerge""]","[]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0070","meticulous","M AH0 T IH1 K Y AH0 L AH0 S","adjective","marked by extreme care in treatment of details","[""punctilious""]","[""a meticulous craftsman"",""almost worryingly meticulous in his business formalities"",""meticulous research"",""punctilious in his attention to rules of etiquette""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0071","misanthrope","M IH1 S AH0 N TH R OW2 P","noun","someone who dislikes people in general  ","[""misanthropist""]","[]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0072","mollify","M AA1 L AH0 F AY2","verb","make less rigid or softer  ","[]","[]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0073","morose","M ER0 OW1 S","adjective","showing a brooding ill humor","[""dark"",""dour"",""glowering"",""glum"",""moody"",""saturnine"",""sour"",""sullen""]","[""a dark scowl"",""the proverbially dour New England Puritan"",""a glum, hopeless shrug"",""he sat in moody silence""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0074","munificent","","adjective","very generous","[""lavish"",""overgenerous"",""too-generous"",""unsparing"",""unstinted"",""unstinting""]","[""distributed gifts with a lavish hand"",""the critics were lavish in their praise"",""a munificent gift"",""his father gave him a half-dollar and his mother a quarter and he thought them munificent""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0075","obviate","AA1 B V IY0 EY2 T","verb","do away with  ","[""rid of"",""eliminate""]","[]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0076","opaque","OW0 P EY1 K","adjective","hard or impossible to understand  ","[""unintelligible""]","[""impenetrable to sight"",""opaque windows of the jail"",""opaque to X-rays""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0077","pedantic","P AH0 D AE1 N T IH0 K","adjective","marked by a narrow focus on or display of learning especially its trivial aspects  ","[""academic"",""donnish""]","[]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0078","perfunctory","P ER0 F AH1 NG K T ER0 IY0","adjective","done or produced as a formality only","[""pro forma"",""casual"",""cursory"",""passing(a)"",""superficial""]","[""a one-candidate pro forma election"",""not thorough"",""a casual (or cursory) inspection failed to reveal the house's structural flaws"",""a passing glance""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0079","precarious","P R IY0 K EH1 R IY0 AH0 S","adjective","not secure","[""shaky"",""unstable""]","[""beset with difficulties"",""a shaky marriage"",""a precarious truce""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0080","precipitate","P R IH0 S IH1 P IH0 T EY2 T","verb","hurl or throw violently","[""come down"",""fall""]","[""The bridge broke and precipitated the train into the river below"",""Our economy precipitated into complete ruin"",""rain, snow and sleet were falling"",""Vesuvius precipitated its fiery, destructive rage on Herculaneum""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0081","presumptuous","P R IH0 Z AH1 M P CH AH0 W AH0 S","adjective","excessively forward","[""assumptive"",""assuming""]","[""an assumptive person"",""on a subject like this it would be too assuming for me to decide"",""the duchess would not put up with presumptuous servants""]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0082","prevaricate","P R AH0 V EH1 R AH0 K EY0 T","verb","be deliberately ambiguous or unclear in order to mislead or withhold information  ","[""beat around the bush"",""equivocate"",""tergiversate"",""palter""]","[]","11","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
